,Gender,Age,Income (USD),Income Stability,Profession,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
29,1,29,3880.49,1,7,2,234770.77,636.65,1,1,5.0,767.85,0,0,4,1,1.0,326886.67,164339.54
30,0,32,2478.54,1,7,1,30195.97,225.64,0,1,1.0,735.997785481891,0,0,2,0,1.0,45299.77,24156.78
31,0,18,2630.574417479547,1,7,1,85927.28,217.19,0,0,2.2530265023448575,688.21,0,3,2,0,1.0,160151.78,60149.1
32,0,28,2474.33,1,7,1,17503.0,144.82,0,1,3.0,855.97,1,2,2,0,1.0,32580.57,14002.4
33,0,18,1220.16,2,7,1,35595.86,153.25,0,0,3.0,706.08,0,2,4,1,1.0,41948.44,24917.1
34,1,18,1671.02,1,4,1,91850.54,438.64,0,1,2.0,834.62,0,0,1,0,1.0,144087.09,0.0
35,0,49,1974.82,1,7,1,43299.94,264.58,0,1,2.0,651.45,0,1,2,0,1.0,58269.09,0.0
36,0,61,5302.28,1,7,0,186715.38,527.81,1,0,1.0,748.38,0,0,3,1,1.0,270558.3,121365.0
37,0,18,2368.34,1,7,1,18386.57,219.7,0,1,2.0,672.32,0,2,3,1,1.0,27966.91,11951.27
38,1,28,2067.66,1,7,1,39290.22,193.27,0,1,3.0,630.73,0,0,2,1,1.0,70132.42,0.0
39,1,18,7885.56,1,1,2,121963.5,587.8,1,1,1.0,721.18,1,2,1,2,1.0,142645.25,85374.45
40,1,30,4096.07,1,7,1,65332.24,334.81,1,0,3.0,707.3,0,1,4,2,1.0,122411.52,42465.96
41,0,54,5330.72,1,7,1,133531.81,535.77,0,0,1.0,861.21,1,0,2,2,1.0,170214.99,100148.86
42,1,37,2680.38,1,1,1,85145.49,618.52,0,1,1.0,855.18,0,1,2,0,1.0,104278.0,68116.39
43,1,51,3384.91,1,7,1,40679.95,340.44,0,1,2.0,799.57,1,0,4,1,1.0,54618.45,32543.96
44,0,18,1694.53,1,1,0,41837.3,286.68,1,0,3.0,747.21,1,1,1,2,1.0,75416.35,27194.25
45,0,27,1960.17,1,7,1,123034.46,684.16,0,0,3.0,715.43,0,1,2,0,0.0,169416.28,0.0
46,1,54,1871.92,1,7,1,55863.31,318.76,0,1,2.2530265023448575,797.47,0,0,4,1,1.0,102110.07,44690.65
47,0,44,1761.15,1,7,1,75574.36,355.11,0,0,1.0,755.48,0,1,2,0,1.0,84102.27,56680.77
48,1,64,2478.3,1,7,1,171270.39,560.47,0,0,3.0,733.67,0,2,1,2,1.0,300043.91,111325.75
49,1,59,2630.574417479547,1,1,1,155502.39,502.13,0,0,2.2530265023448575,855.39,1,2,2,1,1.0,228079.45,116626.79
50,0,62,1282.74,1,7,1,71476.86,334.91,0,0,4.0,775.55,0,0,1,2,1.0,85170.57,57181.49
51,0,39,1822.63,1,7,1,47012.15,238.11,0,1,1.0,757.22,0,2,1,0,1.0,84534.32,35259.11
52,1,61,3104.0,1,7,1,159180.09,669.51,0,1,2.0,842.99,0,1,4,0,1.0,278885.16,119385.07
53,1,21,1984.32,1,7,1,90857.67,479.49,1,1,2.0,775.57,0,1,2,1,1.0,119869.89,0.0
54,0,55,2630.574417479547,1,1,1,46240.13,226.65,0,1,1.0,644.64,0,1,3,1,1.0,63760.17,0.0
55,1,18,3031.97,1,7,1,33085.85,336.9,0,1,2.0,833.33,0,0,4,1,0.0,37567.92,0.0
56,0,31,2630.574417479547,1,7,0,99992.27,702.57,1,1,2.0,745.91,0,0,2,0,1.0,145120.22,64994.98
57,1,43,5445.6,1,1,1,58236.85,435.07,0,1,2.0,718.89,0,1,2,1,1.0,72025.12,40765.8
58,0,33,3175.91,1,1,2,185900.53,699.92,0,1,3.0,681.16,1,2,2,1,1.0,210100.47,130130.37
59,0,51,4068.02,1,1,2,116442.26,841.91,0,0,3.0,831.88,0,0,3,1,0.0,192340.59,0.0
60,0,58,1633.88,1,7,1,48546.56,238.55,0,1,2.0,774.67,0,1,2,2,1.0,84149.5,33982.59
61,0,25,1224.99,1,7,0,84606.2,427.1,0,0,4.0,705.62,0,2,1,0,1.0,136029.3,59224.34
62,1,51,1993.49,2,7,0,97298.45,275.74,1,1,2.0,801.23,0,0,1,2,1.0,157137.04,68108.91
63,0,43,2630.574417479547,1,7,1,43232.4,203.58,0,1,2.0,725.78,0,2,3,2,1.0,70538.77,28101.06
64,1,65,1047.12,0,3,1,40742.95,169.31,0,1,2.0,821.87,0,2,1,2,0.0,56784.27,30557.21
65,0,28,1972.0,1,7,0,97666.72,356.08,1,0,2.0,796.03,0,1,3,0,1.0,116536.87,68366.7
66,0,26,5021.9,1,7,1,136882.85,699.72,0,1,3.0,643.89,1,1,3,2,1.0,226130.72,0.0
67,1,65,3865.02,0,3,1,217597.12,658.92,1,0,2.0,797.55,1,1,4,2,1.0,263176.92,163197.84
68,0,18,2630.574417479547,1,7,1,27469.27,138.28,1,1,4.0,812.36,0,1,2,0,1.0,50068.09,21975.42
69,0,60,1318.47,1,7,1,30191.08,114.06,0,1,2.0,766.81,0,0,1,1,1.0,36230.17,0.0
70,0,43,1794.1,1,7,0,33807.36,240.32,1,1,4.0,723.8,0,0,1,0,1.0,51738.76,21974.78
71,1,54,2814.48,1,7,2,100346.63,427.31,0,1,3.0,742.45,0,1,1,1,1.0,132302.29,65225.31
72,1,24,1580.38,1,7,1,66041.19,325.89,0,0,4.0,717.92,0,0,2,1,1.0,100265.3,46228.83
73,0,55,2700.12,1,7,1,24890.1,141.45,1,0,2.0,757.67,0,3,1,0,1.0,32954.34,18667.57
74,1,50,2630.574417479547,1,1,1,61445.67,316.61,0,1,2.2530265023448575,710.12,0,0,4,2,1.0,116623.96,43011.97
75,1,50,2476.71,1,7,1,79928.84,336.88,1,1,2.0,678.0,0,2,4,1,1.0,100315.66,51953.75
76,0,46,2239.14,1,1,1,46755.67,237.28,0,1,2.0,676.78,0,2,1,2,1.0,57625.06,0.0
77,0,18,2760.03,1,7,1,64516.08,322.2,1,0,1.0,682.6,1,2,3,0,1.0,117010.73,41935.45
78,0,62,1519.67,0,3,1,45103.02,450.18,0,1,1.0,854.18,0,2,2,1,1.0,75013.84,31572.11
79,1,48,2590.89,1,7,1,32607.06,293.0,0,0,2.2530265023448575,801.62,0,1,2,0,1.0,60126.46,26085.65
80,0,56,1589.8,1,7,0,42465.29,294.29,0,0,2.0,729.66,1,0,3,0,1.0,68719.99,29725.7
81,1,30,3967.09,1,7,1,175654.45,730.28,1,1,2.2530265023448575,718.28,1,0,2,0,1.0,198852.89,114175.39
82,0,64,1179.18,1,1,0,30385.6,251.72,0,1,3.0,756.24,0,2,4,1,1.0,39087.37,0.0
83,1,22,2178.86,1,1,1,60176.63,282.93,0,0,1.0,813.17,0,1,1,0,1.0,82905.84,45132.47
84,1,37,1332.42,1,1,1,60017.87,475.42,0,1,1.0,728.29,0,0,1,1,1.0,99319.12,42012.51
85,0,36,2966.6,1,1,1,152200.62,736.35,0,1,3.0,766.19,0,1,3,2,0.0,171476.96,0.0
86,0,63,3516.53,1,7,1,111662.86,670.31,0,0,1.0,822.91,0,2,4,1,1.0,149145.97,89330.29
87,0,61,2630.574417479547,0,3,2,258359.02,938.59,1,1,3.0,791.54,0,0,2,0,1.0,437535.71,193769.26
88,0,65,3477.95,0,3,0,44490.31,243.35,0,0,1.0,747.66,0,1,4,0,1.0,60639.31,0.0
89,1,22,1206.34,1,7,0,19195.88,97.75,0,1,2.0,669.13,0,1,4,1,1.0,32233.86,12477.32
90,0,56,1891.2,1,1,1,114434.1,360.1,1,1,3.0,695.4775854249201,0,2,4,1,1.0,217245.44,0.0
91,1,53,2000.87,1,7,1,124714.96,631.2,1,1,2.0,675.33,0,1,4,2,1.0,170138.05,87300.47
92,0,34,2351.33,1,7,1,53358.88,272.46,1,0,4.0,657.77,1,2,1,0,1.0,133335.87613228548,34683.27
93,1,53,1729.9,1,4,0,132530.58,439.49,0,0,1.0,630.55,0,3,2,2,1.0,157052.24,0.0
94,1,48,979.49,1,7,1,24728.19,137.78,1,0,3.0,710.2,0,1,1,1,1.0,33750.19,16073.32
95,0,51,6060.9,1,7,2,102169.74,738.55,0,0,3.0,851.94,1,1,3,0,1.0,139187.56,86844.28
96,0,18,2630.574417479547,1,7,1,30911.17,152.44,1,1,3.0,721.3916299658606,0,3,4,1,1.0,41720.56,21637.82
97,0,40,2630.574417479547,1,7,2,76049.06,341.29,0,1,2.0,760.05,0,1,1,3,1.0,89983.16,60839.25
98,1,18,1532.0,1,7,1,33819.92,170.24,1,1,4.0,682.04,0,2,4,0,1.0,49033.5,21982.95
99,0,18,1844.18,1,7,2,155880.45,726.98,1,1,3.0,700.26,0,2,4,0,0.0,229559.35,0.0
100,0,56,1894.11,1,7,1,36501.56,219.55,0,1,2.0,854.27,1,1,1,2,1.0,53826.78,25551.09
101,1,65,6446.85,0,3,1,37067.92,197.19,0,1,1.0,717.87,0,0,1,2,0.0,62892.32,24094.15
102,0,35,3537.39,1,1,1,27863.43,127.96,0,1,2.0,687.21,0,3,1,1,1.0,49483.82,19504.4
103,0,65,1356.3,0,3,0,90572.18,327.39,0,1,2.0,781.35,0,0,4,2,1.0,139890.25,72457.74
104,0,58,1565.69,1,7,0,20284.94,179.39,0,0,1.0,660.75,1,2,4,1,1.0,37516.71,13185.21
105,1,44,2630.574417479547,1,1,1,38189.42,133.77,0,1,2.0,658.54,0,3,4,1,1.0,66887.0,24823.12
106,1,63,1028.41,0,3,1,6840.47,66.86,0,1,1.0,770.26,0,1,4,2,0.0,9440.89,5130.35
107,1,42,2019.52,1,4,1,31003.62,249.76,0,1,4.0,632.51,0,2,2,0,1.0,48389.84,0.0
108,1,36,2630.574417479547,1,1,0,58353.58,474.24,0,1,1.0,670.61,0,2,1,2,1.0,80524.3,48210.12045222018
109,0,18,3214.48,1,4,1,107040.92,589.89,0,0,2.2530265023448575,681.92,0,1,4,3,1.0,161283.95,69576.6
110,0,23,1712.51,1,7,0,44232.77,213.61,0,0,2.0,630.48,0,2,1,1,1.0,76206.18,0.0
111,1,56,2630.574417479547,1,4,1,200074.37,562.02,1,0,4.0,733.89,1,0,1,1,1.0,364087.25,130048.34
112,1,59,2630.574417479547,1,7,1,139265.98,388.1,1,1,3.0,704.75,0,2,3,0,1.0,221176.16,90522.89
113,0,27,3370.31,1,7,0,107191.77,896.93,1,1,3.0,742.99,1,2,1,2,0.0,153306.01,0.0
114,0,62,2573.03,1,1,0,136992.15,395.22,1,1,3.0,701.49,1,2,2,0,1.0,251217.1,48210.12045222018
115,1,64,1545.57,1,7,1,159560.45,498.49,0,0,1.0,707.22,0,2,4,3,1.0,279036.8,103714.29
116,1,57,1040.76,1,1,0,7312.83,81.78,0,1,3.0,664.4,0,1,3,0,1.0,8496.3,0.0
117,1,22,4493.53,2,7,1,62366.83,283.94,1,1,2.0,797.71,0,2,3,2,1.0,113945.92,49893.46
118,1,42,2139.98,1,7,1,24656.28,124.14,0,1,2.0,852.17,0,2,4,0,1.0,31258.86,19725.02
119,0,36,2630.574417479547,1,7,1,97031.52,308.86,1,1,2.0,781.72,0,0,2,0,1.0,169263.91,72773.64
120,0,38,1274.01,1,7,1,51251.75,241.86,0,1,1.0,632.1,1,1,2,1,1.0,70784.92,0.0
121,1,38,1919.85,1,7,1,31362.64,260.79,1,1,4.0,756.17,1,2,1,0,1.0,52756.02,21953.85
122,0,47,1273.04,1,7,0,38205.43,205.4,1,1,3.0,798.66,1,0,2,2,1.0,64949.87,28654.07
123,1,64,3418.19,1,1,0,59458.51,358.26,0,0,1.0,809.85,0,1,3,2,1.0,92549.63,41620.96
124,1,32,4752.31,1,7,1,92444.56,447.98,1,0,2.0,723.27,0,0,1,0,1.0,102105.1,64711.19
125,0,41,2918.66,1,7,2,67945.04,361.46,0,1,2.2530265023448575,742.310573878417,0,0,3,0,1.0,113957.08,47561.53
126,0,26,2461.58,1,7,1,49549.37,354.87,0,1,2.0,649.78,0,1,2,0,1.0,69007.01,0.0
127,1,18,2630.574417479547,1,1,0,74577.6,381.31,0,0,2.0,718.98,0,2,1,0,1.0,106610.08,52204.32
128,0,52,1598.0,1,1,1,63966.4,343.75,1,0,4.0,701.88,0,2,3,0,1.0,97947.0,0.0
129,0,39,2100.78,1,7,1,210569.27,537.7,1,0,1.0,699.5,0,0,1,1,1.0,391691.7,147398.49
130,1,58,1660.34,1,7,1,49598.48,265.6,0,1,1.0,763.17,0,0,3,0,1.0,59389.33,39678.78
131,1,18,2877.12,1,7,1,169359.86,1162.36,1,0,3.0,670.89,1,0,2,2,1.0,265433.18,118551.9
132,0,30,2630.574417479547,1,7,1,53106.96,162.12,0,0,1.0,738.5874410200687,0,3,2,2,1.0,64680.13,34519.52
133,0,37,2630.574417479547,1,1,2,79909.09,397.51,1,1,2.0,773.58,1,0,2,2,1.0,123005.34,59931.82
134,0,28,3131.48,1,7,0,102536.42,557.03,0,1,1.0,669.4,1,2,2,1,1.0,150194.71,71775.49
135,0,18,3496.45,1,7,1,136037.97,604.69,1,0,2.0,831.56,0,2,1,2,1.0,237410.99,95226.58
136,1,65,2630.574417479547,0,3,1,79442.15,381.79,1,1,2.0,684.07,0,1,3,1,1.0,138667.33,55609.5
137,0,64,967.86,1,7,1,47048.96,240.63,0,0,2.0,671.05,0,1,2,2,1.0,52018.51,32934.27
138,1,33,1491.84,1,7,1,98757.66,296.19,0,1,3.0,761.02,0,1,3,1,1.0,133896.96,69130.36
139,1,52,2182.76,1,7,1,138081.27,552.45,0,1,2.2530265023448575,717.7,0,1,4,0,1.0,210008.23,89752.83
140,0,53,2867.54,1,1,1,88735.89,313.55,0,1,1.0,807.11,0,2,2,2,0.0,133217.88,0.0
141,0,42,2462.09,1,7,0,262719.4,702.81,1,1,3.0,798.13,0,0,4,0,1.0,336636.4,183903.58
142,0,32,2356.9,1,1,1,141950.43,371.69,1,1,2.0,759.414175735074,0,1,4,0,1.0,257724.9,92267.78
143,1,64,6161.03,1,7,2,41219.31,199.82,0,1,2.0,644.13,1,1,2,0,1.0,62932.33,0.0
144,1,61,2630.574417479547,1,7,1,42747.02,223.99,0,1,1.0,765.5,0,0,1,2,1.0,63815.66,34197.62
145,0,18,2276.44,1,7,0,59606.76,290.99,1,1,2.2530265023448575,846.2,0,2,4,0,1.0,66854.51,48210.12045222018
146,1,51,6014.8,1,1,2,137881.43,704.56,1,1,5.0,758.89,0,2,4,1,1.0,201934.97,96517.0
147,1,62,2990.52,1,4,0,27568.48,211.08,0,0,2.0,657.53,1,1,1,0,0.0,48938.58,0.0
148,1,21,2836.78,1,7,0,123359.81,608.46,0,1,3.0,683.77,1,0,2,1,1.0,188339.8,80183.88
149,0,41,967.1,1,1,1,77009.45,403.1,0,0,2.0,764.3,0,2,1,2,1.0,87972.1,0.0
150,1,36,2142.63,1,7,1,47814.96,261.43,0,1,1.0,847.83,1,1,1,0,1.0,83481.6,35861.22
151,1,42,1239.81,1,1,1,28781.77,197.86,0,1,2.0,745.39,0,1,1,2,1.0,34640.81,18708.15
152,0,31,2630.574417479547,1,7,1,145343.2,927.59,0,0,2.0,841.12,1,1,3,1,1.0,256615.01,101740.24
153,1,18,2630.574417479547,1,7,1,23807.1,123.46,0,0,1.0,682.32,0,1,1,1,1.0,43868.75,15474.62
154,1,35,3048.84,1,7,2,86281.74,635.82,0,0,3.0,779.09,0,0,2,2,1.0,133711.7,60397.22
155,0,36,1256.46,1,1,1,87663.0,501.31,0,1,3.0,760.06,0,1,3,2,1.0,149690.69,61364.1
156,1,18,1804.62,1,1,1,138931.88,488.59,0,0,1.0,782.31,0,0,1,0,1.0,156867.8,111145.5
157,1,64,3637.7,2,1,0,23811.63,162.44,0,0,2.0,811.11,0,2,3,1,1.0,40867.64,19049.3
158,1,18,1146.99,1,1,1,26279.47,132.24,0,1,3.0,610.31,0,0,2,1,0.0,44808.44,0.0
159,0,26,4338.52,1,7,1,106168.08,327.38,1,1,2.0,751.9726770964022,0,1,2,0,1.0,164951.03,74317.66
160,1,31,3181.79,1,7,1,56230.74,378.54,0,1,1.0,603.11,1,2,2,2,1.0,64656.86,0.0
161,1,43,2532.51,1,7,0,6189.5,34.04,0,1,4.0,728.51,0,1,1,1,1.0,8406.79,4023.18
162,1,62,2334.17,1,1,1,174980.55,639.42,0,1,2.2530265023448575,689.17,0,1,4,0,1.0,322776.3,113737.36
163,1,52,5023.72,1,1,1,102610.53,762.16,1,1,4.0,792.47,0,2,3,2,1.0,148807.35,76957.9
164,1,38,2021.12,1,7,1,281022.99,947.45,0,1,4.0,677.18,0,2,4,2,0.0,519776.2,0.0
165,1,51,2021.96,1,1,2,114273.33,375.55,0,0,4.0,720.3,0,0,1,0,1.0,185723.98,79991.33
166,0,48,3404.88,1,4,2,35677.5,358.57,1,1,2.0,851.44,1,2,2,1,1.0,49569.03,35677.5
167,1,37,3268.08,1,7,1,113861.07,480.68,1,0,1.0,738.18,0,2,4,1,1.0,171731.49,79702.75
168,1,43,1637.51,1,7,1,75095.84,417.84,0,1,3.0,815.75,1,2,4,1,1.0,114087.85,60076.67
169,0,26,5445.6,1,1,1,81490.74,1118.79,1,1,4.0,722.17,0,0,1,0,1.0,132436.48,57043.52
170,1,43,2630.574417479547,1,7,1,99316.11,367.34,1,1,1.0,707.82,0,1,4,0,1.0,133883.38,64555.47
171,1,51,2470.74,1,7,1,105866.95,834.14,0,1,3.0,651.64,0,1,4,0,1.0,146419.13,74106.86
172,1,44,2630.574417479547,1,1,1,114392.28,376.31,0,1,2.0,708.88,1,2,4,0,1.0,211999.08,74354.98
173,1,21,2137.01,1,7,1,201716.39,498.39,0,0,2.0,804.32,0,1,3,1,1.0,233893.63,141201.47
174,1,40,2435.91,1,7,1,60339.0,206.84,0,0,2.0,725.33,0,1,3,2,0.0,72861.07,0.0
175,0,18,1893.91,1,1,1,113175.0,383.49,0,1,2.0,825.06,0,3,4,2,1.0,167022.14,84881.25
176,1,55,2755.69,1,4,1,39048.36,332.61,0,0,1.0,650.09,0,2,1,0,1.0,67755.7,25381.43
177,1,29,2562.95,1,7,1,27599.48,144.97,1,1,5.0,634.94,0,0,2,1,1.0,31176.34,0.0
178,0,50,2630.574417479547,1,4,1,124136.37,324.74,0,1,3.0,665.98,0,0,1,0,1.0,142154.35,86895.46
179,1,50,2630.574417479547,2,7,1,112900.61,542.32,0,1,3.0,801.33,0,0,2,2,1.0,189468.38,90320.49
180,1,44,3466.88,1,7,1,161020.8,700.37,0,1,2.2530265023448575,788.67,0,0,2,2,1.0,194231.61,128816.64
181,0,60,3462.78,0,3,1,91715.54,271.26,1,0,2.0,873.28,0,0,1,0,0.0,110304.39,68786.66
182,1,37,1631.16,1,1,1,53926.02,159.06,0,0,3.0,652.46,0,0,2,0,1.0,93484.83,35051.91
183,1,23,1970.12,1,7,1,45332.69,295.74,0,0,1.0,655.33,0,2,4,0,1.0,68462.61,31732.88
184,0,65,911.24,0,3,0,31484.72,176.33,0,1,2.0,851.02,0,0,2,0,1.0,57401.5,23613.54
185,1,64,1857.54,1,7,0,82812.81,373.03,0,0,2.0,640.74,1,1,4,1,1.0,111218.06,0.0
186,1,18,1098.18,1,7,1,77512.02,346.47,0,1,2.0,668.87,0,1,3,1,1.0,129330.82,50382.81
187,1,19,1385.55,1,7,1,39445.27,233.36,0,0,1.0,746.84,0,3,4,0,0.0,65250.01,0.0
188,0,57,4244.06,1,7,1,89707.55,471.27,1,0,1.0,721.5,0,1,2,1,1.0,161982.05,62795.28
189,1,65,2662.74,0,3,1,126470.1,407.09,0,1,1.0,774.11,0,1,1,2,1.0,205775.77,94852.58
190,0,34,2940.62,1,4,2,37359.33,191.58,0,1,2.2530265023448575,842.73,0,0,2,1,1.0,58296.16,29887.46
191,0,56,1208.54,1,7,1,34278.64,199.7,0,1,2.0,694.28,0,0,2,2,0.0,57338.99,0.0
192,0,43,1935.49,1,7,1,109313.69,459.13,0,1,2.0,650.39,0,0,1,2,1.0,143224.2,76519.58
193,1,56,4252.56,1,1,1,155846.86,465.13,1,1,3.0,824.43,0,2,2,1,1.0,199451.96,109092.8
194,0,46,824.0,1,7,1,28762.4,173.77,1,1,2.0,770.16,1,3,2,0,1.0,54258.63,23009.92
195,0,18,1497.23,1,1,1,30847.01,148.33,0,0,3.0,594.84,0,3,1,2,0.0,56421.47,0.0
196,0,64,2534.74,1,1,0,130784.86,632.41,0,1,2.0,791.81,0,0,3,2,1.0,169766.07,98088.64
197,0,18,3089.34,1,7,2,81979.03,395.75,1,1,2.2530265023448575,652.28,0,2,1,2,1.0,101688.7,53286.37
198,0,25,2630.574417479547,1,7,1,67406.4,339.62,0,1,3.0,713.59,0,1,4,2,1.0,98777.13,43814.16
199,1,22,8556.16,1,1,2,278598.47,891.23,1,1,4.0,804.33,1,1,2,2,0.0,485963.49,0.0
200,0,59,997.39,1,7,1,26045.14,137.21,0,1,2.0,736.0522064244099,0,2,3,2,1.0,46802.31,19533.86
201,0,65,3320.45,0,3,1,93722.31,320.44,1,1,2.0,805.44,1,2,3,3,1.0,134052.11,65605.62
202,1,26,1272.64,1,7,1,27915.27,132.96,0,1,1.0,673.66,0,2,4,0,1.0,39834.37,19540.69
203,1,58,2630.574417479547,1,7,0,31073.48,214.31,0,1,2.0,658.98,1,0,1,1,1.0,39487.19,20197.76
204,1,54,2630.574417479547,1,7,1,24805.62,125.15,1,1,2.2530265023448575,675.64,0,0,4,0,1.0,44287.49,17363.93
205,1,44,2030.99,1,4,1,26802.03,138.45,0,0,2.0,688.22,0,1,1,0,1.0,36179.99,17421.32
206,0,44,993.21,1,7,1,26814.58,126.58,0,0,1.0,679.23,0,0,2,2,1.0,36037.73,0.0
207,0,51,10522.61,1,1,1,74659.88,372.09,1,1,3.0,784.69,1,2,3,0,1.0,95932.16,0.0
208,0,28,3492.47,1,7,1,94213.04,360.24,0,1,1.0,639.03,0,2,4,2,1.0,172745.34,0.0
209,1,38,2289.23,1,1,1,87458.42,218.35,1,0,1.0,615.21,0,0,1,2,1.0,129017.76,0.0
210,1,47,2898.53,1,4,1,37650.79,230.72,1,1,5.0,784.91,0,0,2,1,1.0,42259.04,26355.55
211,1,60,3647.48,1,7,1,92025.17,271.1,0,1,2.0,758.65,0,0,2,0,1.0,119475.01,69018.88
212,0,59,1622.56,1,7,1,111344.39,339.39,0,0,2.0,753.71,1,0,4,1,1.0,193871.13,0.0
213,1,27,2630.574417479547,1,7,1,61649.37,500.62,0,1,1.0,768.21,0,1,4,0,1.0,91110.67,43154.56
214,1,65,1815.74,0,3,1,96950.29,478.46,0,1,2.0,808.3668556186324,0,2,3,1,0.0,107850.7,77560.23
215,1,64,5939.78,0,3,2,290858.74,856.03,0,1,2.0,870.22,0,0,2,0,0.0,491475.67,218144.06
216,1,29,2915.93,1,4,2,68159.89,451.18,0,0,2.0,740.1769458368623,0,1,3,2,1.0,75697.92,47711.92
217,1,18,5219.66,1,7,2,94710.9,508.81,0,1,1.0,725.63,0,0,3,0,1.0,154216.44,66297.63
218,0,57,1535.99,1,7,1,37827.74,326.07,0,0,1.0,797.94,0,1,1,0,0.0,60495.08,0.0
219,1,24,1689.23,1,7,1,21300.04,165.04,0,1,2.0,683.05,0,0,1,0,1.0,28328.25,14910.03
220,0,48,3019.18,1,7,1,125147.71,932.19,1,1,2.0,775.64,0,1,2,1,1.0,164740.36,100118.17
221,0,65,1453.12,0,3,1,105949.51,380.41,0,1,2.0,842.11,0,1,4,0,1.0,122595.15,0.0
222,1,30,1203.13,1,1,0,77519.11,389.48,0,0,3.0,680.74,0,1,3,1,1.0,118091.86,0.0
223,1,33,2642.24,1,1,1,42274.06,246.13,1,1,5.0,734.85,0,2,2,0,1.0,58303.74,27478.14
224,0,43,1037.04,1,7,0,31349.22,236.88,0,0,5.0,639.02,0,1,3,0,0.0,52483.76,0.0
225,1,18,3883.84,1,7,0,288605.16,932.62,0,1,3.0,747.4,0,2,4,2,0.0,328149.78,0.0
